UF,area_ant,area_nova,area_var,produtiv_ant,produtiv_nova,produtiv_var,producao_ant,producao_nova,producao_var,ID
NORTE,1229.8999999999999,1140.4,-7.3,4331.583218147817,4423.839793055067,2.1,5327.3,5045,-5.3,
RR,9,9,0,6720,6000,-10.7,60.5,54,-10.7,14
RO,303.4,305.59999999999997,0.7,5182.741595253791,5067.9093586387435,-2.2,1572.4,1548.8,-1.5,11
AC,43,43,0,3231.4697674418608,3220.5162790697677,-0.3,139,138.5,-0.4,12
AM,5.6,5.6,0,2953,2784,-5.7,16.5,15.6,-5.5,13
AP,2.8,2.8,0,940.0000000000001,940.0000000000001,0,2.6,2.6,0,16
PA,435.29999999999995,394.7,-9.3,3414.53801975649,3412.0281226247785,-0.1,1486.3,1346.7,-9.4,15
TO,430.79999999999995,379.7,-11.9,4758.6350974930365,5106.035554385041,7.3,2050,1938.8,-5.4,17
NORDESTE,3299.2999999999997,3125,-5.3,3559.7822871518206,3328.6057919999994,-6.5,11744.800000000001,10401.8,-11.4,
MA,609.0999999999999,565.2,-7.2,5161.458052864883,5161,0,3143.8,2843.4,-9.6,21
PI,639.4,557.7,-12.8,4523.0556771973725,4486.254975793437,-0.8,2892,2502,-13.5,22
CE,584,588.7,0.8,619,949.9999999999999,53.5,361.5,559.3,54.7,23
RN,50.5,50.5,0,550,555,0.9,27.8,28,0.7,24
PB,120.4,120.4,0,818.0000000000001,659,-19.4,98.5,79.3,-19.5,25
PE,202.2,202.2,0,979.6379821958457,677.1691394658754,-30.9,198.1,136.9,-30.9,26
AL,58.1,58.1,0,2500,1704,-31.8,145.3,99,-31.9,27
SE,182.2,182.2,0,5209,5078,-2.5,949.1,925.2,-2.5,28
BA,853.4000000000001,800,-6.3,4603.624326224513,4035.9359999999997,-12.3,3928.7,3228.7,-17.8,29
CENTRO-OESTE,11650.500000000002,11093.100000000002,-4.8,6640.880975065446,6101.62511831679,-8.1,77369.50000000001,67686,-12.5,
MT,7428.1,7063.400000000001,-4.9,6898.212221160189,6422.979514115015,-6.9,51240.6,45368.1,-11.5,51
MS,2262.6000000000004,2175,-3.9,5795.184831609652,5155.018620689654,-11,13112.2,11212.2,-14.5,50
GO,1903.7,1799.2,-5.5,6640.304985029154,5963.744219653179,-10.2,12641.1,10730,-15.1,52
DF,56.1,55.5,-1.1,6695.896613190732,6769.90990990991,1.1,375.6,375.7,0,53
SUDESTE,2088.7999999999997,1938.8,-7.2,6087.743441210265,5778.345007220962,-5.1,12716.099999999999,11203,-11.9,
MG,1289.1,1171.6,-9.1,6160.967341556125,6033.322379651759,-2.1,7942.1,7068.6,-11,31
ES,15.1,13.8,-8.6,3325,3014,-9.4,50.2,41.6,-17.1,32
RJ,2,2,0,4183,4203,0.5,8.4,8.4,0,33
SP,782.5999999999999,751.4000000000001,-4,6025.302836698186,5435.740750598882,-9.8,4715.4,4084.4,-13.4,35
SUL,3999.3,3784.1,-5.4,6198.1215962793485,6393.146772019767,3.1,24788.2,24192.300000000003,-2.4,
PR,2855.8,2652.5,-7.1,6481.268891378947,6186.004033930254,-4.6,18509.2,16408.4,-11.4,41
SC,312,300.1,-3.8,8164,7999.999999999999,-2,2547.2,2400.8,-5.7,42
RS,831.5,831.5,0,4488,6474,44.3,3731.8,5383.1,44.2,43
NORTE/NORDESTE,4529.2,4265.4,-5.8,3769.3641040360335,3621.428236507713,-3.9,17072.100000000002,15446.8,-9.5,
CENTRO-SUL,17738.600000000002,16816,-5.2,6475.9231280935355,6129.953591817317,-5.3,114873.8,103081.3,-10.3,
BRASIL,22267.800000000003,21081.4,-5.3,5925.417594014675,5622.403616458109,-5.1,131945.9,118528.1,-10.2,
Fonte: Conab.,,,,,,,,,,
Nota: Estimativa em dezembro/2023.,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
