UF,area_ant,area_nova,area_var,produtiv_ant,produtiv_nova,produtiv_var,producao_ant,producao_nova,producao_var,ID
NORTE,3010.5,3284.7,9.1,3372.6285334662016,3197.775626389016,-5.2,10153.4,10503.7,3.5,
RR,123,142.1,15.5,2800,3000,7.1,344.4,426.3,23.8,14
RO,595,601,1,3423,3405,-0.5,2036.7,2046.4,0.5,11
AC,12,12,0,3808,3240,-14.9,45.7,38.9,-14.9,12
AM,6.9,9.4,36.2,2880,2960,2.8,19.9,27.8,39.7,13
AP,7.4,7.4,0,2658,2593,-2.4,19.7,19.2,-2.5,16
PA,939.5,1042.8,11,3063,3063,0,2877.7,3194.1,11,15
TO,1326.7,1470,10.8,3625,3232,-10.8,4809.3,4751,-1.2,17
NORDESTE,4019.2,4264.5,6.1,3785.1230593152873,3603.919240239184,-4.8,15213.2,15369,1,
MA,1112.7,1181.7,6.2,3514,3303,-6,3910,3903.2,-0.2,21
PI,976.6,1072.3,9.8,3634,3443,-5.3,3549,3691.9,4,22
CE,4.6,4.6,0,3894,3373,-13.4,17.9,15.5,-13.4,23
RN,0,0,0,,,0,0,0,0,24
PB,0,0,0,,,0,0,0,0,25
PE,0,0,0,,,0,0,0,0,26
AL,5.6,5.6,0,3405,3063,-10,19.1,17.2,-9.9,27
SE,0,0,0,,, ,0,0,0,28
BA,1919.7,2000.3,4.2,4020,3870,-3.7,7717.2,7741.2,0.3,29
CENTRO-OESTE,20494.5,20984.4,2.4,3791.6585864500234,3561.4564390690225,-6.1,77708.20000000001,74735.1,-3.8,
MT,12086,12303.5,1.8,3773,3535,-6.3,45600.5,43492.9,-4.6,51
MS,3775,3990.2,5.7,3723,3480,-6.5,14054.3,13885.9,-1.2,50
GO,4547.4,4602,1.2,3900,3704,-5,17734.9,17045.8,-3.9,52
DF,86.1,88.7,3,3699,3500,-5.4,318.5,310.5,-2.5,53
SUDESTE,3468.2000000000003,3546.4,2.3,3822.6853987659306,3690.161910669975,-3.5,13257.9,13086.8,-1.3,
MG,2171.3,2249.5,3.6,3844,3726,-3.1,8346.5,8381.6,0.4,31
ES,0,0,0,,,0,0,0,0,32
RJ,0,0,0,,,0,0,0,0,33
SP,1296.9,1296.9,0,3787,3628,-4.2,4911.4,4705.2,-4.2,35
SUL,13087.7,13229,1.1,2924.6393025512502,3513.6842769672685,20.1,38276.8,46482.6,21.4,
PR,5799.2,5810.8,0.2,3860,3747,-2.9,22384.9,21773.1,-2.7,41
SC,733.4,745.1,1.6,3918,3787,-3.3,2873.5,2821.7,-1.8,42
RS,6555.1,6673.1,1.8,1986,3280,65.2,13018.4,21887.8,68.1,43
NORTE/NORDESTE,7029.7,7549.2,7.4,3608.470461043857,3427.2038361680707,-5,25366.6,25872.7,2,
CENTRO-SUL,37050.4,37759.8,1.9,3488.2966499686913,3556.807663176182,2,129242.90000000001,134304.5,3.9,
BRASIL,44080.1,45309,2.8,3507.4614395157905,3535.213604361164,0.8,154609.5,160177.2,3.6,
